,2024/9/16,,2024/9/17,,2024/9/19,,2024/9/20,,2024/9/23,,2024/9/24,,2024/9/26,,2024/9/27,,2024/9/30,,2024/10/1,,2024/10/3,,2024/10/4,,2024/10/7,,2024/10/8,,2024/10/10,,2024/10/11,,2024/10/14,,2024/10/15,,2024/10/17,,2024/10/18,,2024/10/21,,2024/10/22,,2024/10/24,,2024/10/25,,2024/10/28,,2024/10/29,,2024/10/31,,2024/11/1,,2024/11/4,,2024/11/5,,2024/11/7,,2024/11/8,,2024/11/11,,2024/11/12,,2024/11/14,,2024/11/15,,2024/11/18,,2024/11/19,,2024/11/21,,2024/11/22,,2024/11/25,,2024/11/26,,2024/11/28,,2024/11/29,,2024/12/2,,2024/12/3,,2024/12/5,,2024/12/6,,2024/12/9,,2024/12/10,,2024/12/12,,2024/12/13,,2024/12/16,,2024/12/17,,2024/12/19,,2024/12/20,,2024/12/23,,2024/12/24,,2024/12/26,,2024/12/27,,2025/1/6,,2025/1/7,,2025/1/9,,2025/1/10,,2025/1/13,,2025/1/14,,2025/1/16,,2025/1/17,,2025/1/20,,2025/1/21,,2025/1/23,,2025/1/24,,2025/1/27,,2025/1/28,,2025/1/30,,2025/1/31,,2025/2/3,,2025/2/4,,2025/2/6,,2025/2/7,,2025/2/10,,2025/2/11,,2025/2/13,,2025/2/14,,2025/2/17,,2025/2/18,,2025/2/20,,2025/2/21,,2025/2/24,,2025/2/25,,2025/2/27,,2025/2/28,,2025/3/3,,2025/3/4,,2025/3/6,,2025/3/7,,2025/3/10,,2025/3/11,,2025/3/13,,2025/3/14,,2025/3/17,,2025/3/18,,2025/3/20,,2025/3/21,,2025/3/24,,2025/3/25,,2025/3/27,,2025/3/28,,2025/4/7,,2025/4/8,,2025/4/10,,2025/4/11,,2025/4/14,,2025/4/15,,2025/4/17,,2025/4/18,,2025/4/21,,2025/4/22,,2025/4/24,,2025/4/25,,2025/4/28,,2025/4/29,,2025/5/1,,2025/5/5,,2025/5/6,,2025/5/8,,2025/5/9,,2025/5/12,,2025/5/13,,2025/5/15,,2025/5/16,
â™ìcé—â¿,-20.3 ,,,,,,,,,,,-38.8 ,,,-16.7 ,,,,,,,,,,11.2 ,,,,,,,,,,,,,,,,,,-40.8 ,,,,,,,,,,,,,,-46.1 ,,,,-54.8 ,,,,,,,,,,,,,,-63.0 ,,,,,,,,,,,,,,,,,,-59.9 ,,,,,,,,-66.0 ,,,,,,,,,18.4 ,,,11.6 ,-67.9 ,,,,,,,,,,,,,,,-15.6 ,,,,,,,,,,,,,,,,,,,-55.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ìnï”ëæ,,-44.5 ,,,,,,,,,,,,58.8 ,,,,,,,,,,64.4 ,,,,,,2.1 ,,,,,,,,,,-21.9 ,,,,60.3 ,,,,,,,,,-46.0 ,,,,,,,,17.8 ,,,,,,53.2 ,,,,,,,,,,,,,58.3 ,,,,,21.0 ,,,,,,,,,-8.1 ,,,,,,,61.7 ,,,,,,,,,,-21.5 ,,,,12.3 ,,,,,,,,,,,-56.1 ,,,,,,,,,,-16.0 ,,,,,,9.0 ,,,,,,,,,,-19.6 ,,,,,,10.4 ,,,,,,,,3.4 ,,,,,,,,12.2 ,,,,,,,,,,50.1 ,,,,,,,,,7.5 ,,,,,-77.4 ,,,,,,,7.9 ,,,,,,,,,,,,,-47.0 ,,,,,-25.5 ,,,,,,,,56.1 ,,,,,-27.2 ,,,,,,,54.1 ,,-50.9 ,,-45.5 ,,,,-50.1 ,,,,-14.2 ,,,,-69.6 ,,,
ìÒäKì∞àüé˜,,,,,5.2 ,,,,,,,,,,,-43.7 ,,,,,,,,,-18.6 ,,,,,,,,-10.3 ,,,,-13.7 ,,,,,,,,54.6 ,,,,,,,,,,,8.7 ,,,,,,,-48.7 ,-52.6 ,,,,,-21.1 ,,,,,,,,,,,,,-55.7 ,,,,,,,,,,,,,,,,,-14.2 ,,,,,,,,,,,,11.7 ,18.0 ,,,,,,,,,74.8 ,54.9 ,,,,,,,,,,,,,,,,,,,,,,,,,58.6 ,19.4 ,-22.9 ,,,,,,,,,,,,,,,-22.2 ,,,,,,,58.0 ,,,,,,51.5 ,8.6 ,,,,,,,,,-19.4 ,,,,,-17.1 ,,,,,11.9 ,,,,,13.4 ,,,,,-51.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÍëÚòaìT,,,,,,,11.2 ,,-16.1 ,,,,,,,,,,,,,,66.4 ,,,,,,,-21.3 ,,,,,,,,,,,,,6.5 ,,,,,-53.5 ,,,,,,,,-17.8 ,,,,,,,,,,,,,,51.9 ,,,,,59.0 ,,,,,,,,,,76.1 ,,,,,,,,,,,-18.6 ,,,,,,,-42.8 ,,,,,,-20.4 ,,,,,12.8 ,,,,,,,,,-50.2 ,,,,,,,,,-47.1 ,,,,,,,,,,,-19.6 ,,,,,,74.8 ,,,,,,,,,,,-21.1 ,,57.8 ,,,,,,,,,,,,-92.9 ,,,,,,,,,,,,-55.2 ,,,,,,,,,,,,,,21.5 ,,,,3.0 ,,,,,,,,,,,,,,,,,-60.5 ,,,,-57.8 ,,,,,,,,,-25.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
êõå¥êÁâl,,,,-17.3 ,,,,,,,,5.2 ,,,,,,,,,,15.6 ,,,,,,,,,,15.9 ,,,-22.8 ,,,,,,,,,,,,,,,,,,-13.4 ,,,,,,,,-25.8 ,,,,,,,,,-50.7 ,,,,,,,,,,,,,-19.8 ,,,,,,85.2 ,53.6 ,,,,,,,,,,-59.9 ,-10.1 ,,,,,,,,,,,,-53.0 ,,,,,,,,,,,,,,6.0 ,,,,,,,,,,73.2 ,,,,,,,,,,,,-82.5 ,,,,,,,,,,,,,,,,,,,49.9 ,8.0 ,,,,,,,,,,,,,,,-42.3 ,,,,,,,2.9 ,,,,,,,,,,,-63.9 ,,,,,,,,-50.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èºÉñê£ó≤ñÌ,,34.8 ,,,,,,,,,58.9 ,,,,,,,,-19.0 ,,,,,-43.1 ,,,,,,,,,,-27.6 ,,,,,,,,,,-20.5 ,,11.5 ,,,,,-47.6 ,,,,-53.5 ,,,,,,,,,,,,,,,-11.3 ,,,,,,,10.7 ,,,,,,,,-70.5 ,,,,,,,,-13.0 ,,,,,,,,,,,,-45.6 ,,,,,,,,,,-16.1 ,,,,,,,,,,,56.3 ,,,,,,8.5 ,,,10.3 ,4.6 ,,,,,,,,-50.4 ,,,,,,,,,,66.5 ,,,,,,,,,6.3 ,,-46.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,-50.2 ,,,,,,,,,,,,,,,,,,,,,,,-79.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñ{ìcï¸çL,2.7 ,,,,,,,,,57.6 ,,,,,,,,,,,6.2 ,,,,,,,76.3 ,,,,,,,,,-42.3 ,,,,,21.6 ,,,,-29.3 ,,,,,,,,10.1 ,,,-25.6 ,,,,,,,,,-46.0 ,,,,,,,,,,,,57.2 ,,,,,-54.2 ,,,,,,,,17.4 ,,,,,13.3 ,,,,,14.4 ,,,,,,,,,,,62.8 ,,,,,,,-26.2 ,,,,,,,,64.7 ,,,,-10.6 ,-24.4 ,,,,,,,,13.2 ,,,,,,,-42.5 ,,,,,78.1 ,,,,,,,-53.5 ,,,,,,,,-7.3 ,,,,,-31.7 ,,,,-14.3 ,,,,,,-32.3 ,,,,,,,59.3 ,,,,,,,,,,,63.1 ,,,,-21.7 ,,,,,,,,,,,,,,,,-1.0 ,,57.0 ,,,,,54.4 ,,,,,,-60.9 ,-47.2 ,,,,,,-29.3 ,,8.0 ,,,,-20.9 ,,,,52.5 ,66.4 ,,,,,-33.0 ,,,,74.1 ,,
óÈñÿëÂâÓ,,,,,,,55.3 ,,,,,,,,,,,69.0 ,,,,,,,,,,,,,-18.0 ,,,,,,,,-43.2 ,,-53.2 ,,,,,-55.2 ,,,,,,,,-25.7 ,,,,,,,,,,,-59.6 ,,,,,,,,,-45.2 ,,,,,,,,,,-11.7 ,,,,,,,,,,,,,,,7.5 ,,,,,,,-20.8 ,,,-60.5 ,,,,,,,,,,,-50.3 ,,,,,,,,,,91.3 ,,,60.5 ,-13.1 ,,,,26.9 ,,,14.1 ,,,,60.3 ,-46.5 ,,,,,,,,,8.4 ,,,,,,,14.9 ,,,,,16.2 ,,,,,,,,59.5 ,,,,59.3 ,-49.4 ,,,,,,,,,,,,92.2 ,,,,,,,,,-53.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íáó—å\,,,,,,,,,,,,,,,6.7 ,54.8 ,,,,-22.6 ,,,,,,,,,,,,-21.1 ,,,,2.8 ,,,,,,-62.7 ,,,,,,,,,,,,,-5.5 ,,,,,,,,,14.6 ,,,,,,,,93.0 ,,,,,,,,-14.4 ,,54.9 ,,,,,,,,,,-21.4 ,,,,,,,,,,,-20.7 ,,,,,,,,,,,,,74.2 ,,,,,,,,,,-15.6 ,,,,,,,-18.0 ,,,,,,,,,60.1 ,,,,,,,,,,,,-43.9 ,,,,,,,,-25.5 ,,,,,,,,61.8 ,,,,,,,,,,15.0 ,,,,,,,,,,66.0 ,,,,,,,,,,-32.0 ,,,,63.1 ,,,,,,,0.8 ,-14.3 ,,,6.5 ,,,79.8 ,,,,,-4.9 ,,,,,80.2 ,,,,3.5 ,,,,-49.7 ,,,,,,,,,,-49.0 ,,,,-45.3 ,,,,63.2 ,,,,7.5 ,,7.2 ,,
ñxêTå·,,86.4 ,,,,,,,,,,,,,,,,,,,,-57.0 ,,,,60.4 ,,,52.3 ,61.7 ,,,,,,,,,,87.4 ,,,,,,,-16.6 ,,,,,,,,,,,-21.7 ,,,,-57.5 ,,,,,,,,,86.2 ,-33.8 ,,,,,,,-59.8 ,,,,,,,,,-10.2 ,,,,,,-34.9 ,,,,-15.0 ,,,,,,,,,,,20.1 ,,,,,,,,56.9 ,,,,,,,,,,,,,-34.1 ,,,,,,,,,,,,,-65.2 ,,,,,,,,-71.7 ,,,,,67.7 ,,,65.7 ,5.3 ,,,,,-22.0 ,,,,,,,,,,11.1 ,,,,5.4 ,,,9.2 ,,,,59.2 ,,,,,-23.3 ,,,,,-12.3 ,,,,,,,-48.7 ,-44.4 ,,,,,,,,,,-34.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
êÛå©ê^ãI,,,,,,,-17.7 ,,,,,,,,,,-59.3 ,,,,,,,,,,61.5 ,,,,,,13.4 ,,,,,,,,,,,,,,,,-18.7 ,,,,,,,,12.5 ,,,,,,,,,,,,63.1 ,,,,,,,,,,57.9 ,,,,,,,,,,,,,,63.6 ,,,,,,,,,,,,,,58.7 ,,,,,,,,,,,,,,,,57.6 ,,,,,,,,,,,,-23.2 ,,,,,,-48.1 ,,,,,,,,,,67.1 ,,,,,,,,,,,,,,5.3 ,,,,,,,,,,,,,,-48.8 ,,,,,,,,-47.4 ,,,,,,,,,,,,,,57.6 ,,,,,,,,,,,,,,,,-14.4 ,,,,,,,,20.4 ,,,,,,,,,,57.2 ,,,,,,,,,,,,,,,7.9 ,,,4.8 ,,,,,,,,,
äùêXëÅçÅ,,,14.3 ,,,,,,,,,,,-54.0 ,,,,,,68.6 ,,,,,,,,,,,,,,-54.0 ,,,,,,,,,,,,,,,,72.7 ,,,,,,,,,,-47.1 ,,,,,,,-43.9 ,,,,,,,,,8.2 ,,,,,,,,,-26.6 ,,,,,,,,,-55.5 ,,,,9.7 ,,,,,,,,,,,,,,,,,,,,,,,,-15.0 ,,,,,,,,,,,,,,-44.0 ,,,,,,,,,,10.6 ,,,,,,,,,,,,,,-41.9 ,,,,3.7 ,,,,,,,,105.7 ,-48.1 ,,,,,,,,,,,,,,,,,,,,,,10.3 ,,,,,-52.6 ,,,,,-44.4 ,,,,,,,,,,,,,14.2 ,,,,,,,,,,,-18.0 ,,,,,,,,,61.3 ,,,,,,,,,,4.1 ,,,,,,,,,,73.9 ,,-21.0 ,,
óÈñÿóD,,,,,,,,,,,,-15.6 ,,,,,,,,,,,13.1 ,,,,,-21.2 ,,,,,,,,,,,,,,,,,,,54.5 ,,,,55.8 ,,,,,,,40.7 ,,,,,,,,,,,,,-21.9 ,,,,,,,,17.2 ,,,,,,,,63.8 ,,,,,,,,,55.2 ,,,,,,,,9.1 ,,,,-23.8 ,,,,,,,,,,-48.4 ,,,,,,,-10.9 ,,,,,-1.4 ,,,,,,,,-80.4 ,,,,,,,,,,,,88.8 ,,,,,,,,-19.5 ,,,,,,,,54.0 ,,,-46.9 ,,,,,,,,,,,,,,,,,,,-3.5 ,,,,,,-50.5 ,,,,,,,,,,,,,,72.6 ,,,,,,,,,,,,,,5.4 ,,,,,,,61.0 ,100.7 ,,,,,,,,,,83.2 ,,,,,-14.0 ,,,,-13.9 ,,,9.6 ,,,,22.2 ,-16.6 ,,101.9 ,,63.3 ,-51.4 
ìÒäKì∞ó⁄î¸,-47.2 ,,,,,,,,,,,,,,-48.2 ,,,,,-48.4 ,,,,,,-58.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.5 ,,,,,,,,,,,,,,8.9 ,,,,,8.1 ,,,-24.5 ,,,,,,,,,11.5 ,,,,98.5 ,,,,,,-15.2 ,,,,,,,,,,,,,,,,,,,14.3 ,66.9 ,,,,,,,,,,,-73.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
í|ì‡å≥ëæ,,,,,,,,,63.5 ,,,,72.5 ,,,,,,,,,,,,,,20.1 ,,,,10.1 ,,,,,,,,5.0 ,,,,,,-18.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,2.7 ,,,,-14.3 ,,,,,,79.4 ,,,,,,,,,,,,,,,,52.5 ,,,,,,58.2 ,,57.7 ,,,,,,,,,,,,-55.9 ,,,,-2.3 ,,,,61.6 ,,,,,,,,,,69.7 ,,,,,,-27.2 ,,,,,,,,,,,,,,-56.1 ,,,,13.3 ,,,,,,,,58.0 ,,,,,,,,,,8.5 ,,,,,,-16.6 ,,,,,,-43.8 ,,,,,,,,,,-20.8 ,,,,,,,,,,,,-21.4 ,,,,-16.4 ,,,,,,-9.8 ,,,,,,,-27.3 ,,,,,10.1 ,16.0 ,-18.6 ,,59.1 ,,,,,,,,10.7 ,,,,,,,-19.8 ,-25.3 ,,8.5 ,,,,6.2 ,,,
ëÁåÌëÂ,,,,3.1 ,,,,,,,,,,,,,,,,,,63.3 ,,,,,,,,,,,71.2 ,,,,,,,5.9 ,,,,,,73.0 ,,,,,,,7.8 ,,,,,,58.6 ,,,,,-22.6 ,,,,67.2 ,,,,,,,,,,,,,,,,,,,,,,-49.8 ,,,9.3 ,,,,,,,,,,,,,17.9 ,,,,-57.2 ,,,,,,,,-22.4 ,,,,,,,,15.4 ,,,60.2 ,,,,,,,,,73.6 ,,,,-19.8 ,,,,,,,,,,,,,,,,,,,,,-17.0 ,,,,,-17.7 ,,,,,,108.8 ,,,,,,,,,,9.8 ,,,,,,-55.2 ,,,,,,,,,,,-12.5 ,,,,,,,,,,,6.3 ,,,,61.4 ,55.5 ,,,,,,,,62.6 ,,10.5 ,,,27.0 ,,,,,,,,,,,3.5 ,,,,,57.9 ,57.7 ,,70.4 ,,,,,16.2 ,,-63.8 ,6.6 ,,,,,68.9 
