,2025/09/15,2025/09/15,2025/09/16,2025/09/16,2025/09/18,2025/09/18,2025/09/19,2025/09/19,2025/09/22,2025/09/22,2025/09/23,2025/09/23,2025/09/25,2025/09/25,2025/09/26,2025/09/26,2025/09/29,2025/09/29,2025/09/30,2025/09/30,2025/10/02,2025/10/02,2025/10/03,2025/10/03,2025/10/06,2025/10/06,2025/10/07,2025/10/07,2025/10/09,2025/10/09,2025/10/10,2025/10/10,2025/10/13,2025/10/13,2025/10/14,2025/10/14,2025/10/16,2025/10/16,2025/10/17,2025/10/17,2025/10/20,2025/10/20,2025/10/21,2025/10/21,2025/10/23,2025/10/23,2025/10/24,2025/10/24,2025/10/27,2025/10/27,2025/10/28,2025/10/28,2025/10/30,2025/10/30,2025/10/31,2025/10/31,2025/11/03,2025/11/03,2025/11/04,2025/11/04,2025/11/06,2025/11/06,2025/11/07,2025/11/07,2025/11/10,2025/11/10,2025/11/11,2025/11/11,2025/11/13,2025/11/13,2025/11/14,2025/11/14,2025/11/17,2025/11/17,2025/11/18,2025/11/18,2025/11/20,2025/11/20,2025/11/21,2025/11/21,2025/11/24,2025/11/24,2025/11/25,2025/11/25,2025/11/27,2025/11/27,2025/11/28,2025/11/28,2025/12/01,2025/12/01,2025/12/02,2025/12/02,2025/12/04,2025/12/04,2025/12/05,2025/12/05,2025/12/08,2025/12/08,2025/12/09,2025/12/09,2025/12/11,2025/12/11,2025/12/12,2025/12/12,2025/12/15,2025/12/15,2025/12/16,2025/12/16,2025/12/18,2025/12/18,2025/12/19,2025/12/19,2025/12/22,2025/12/22,2025/12/23,2025/12/23,2025/12/25,2025/12/25,2025/12/26,2025/12/26
èaêÏìÔîg,,,,,,,,,,,,,,53.8,,,,,12.0,,,,,,,76.1,,,-17.0,,,,,,,,,,,,,72.5,,,,-25.9,14.8,,,,,,,-13.3,,,,,,-21.6,,,,,,,,,,,-19.7,,,,,,,,-55.0,,,,,,,,,,,,,,,-20.9,,,,,,,,,60.5,,,,,96.9,,,,,,,,-54.0,,,62.6,
ìnï”ëæ,,,,,,,,,,,,,,-43.1,,,,,-22.7,,,,,,,-15.9,,,,,-20.2,,,,,,,,-7.8,,,23.5,,,57.1,,,6.3,,,,56.7,,,,,,,,,,-40.9,,66.1,,,,,,,,,,,,54.4,,,,9.7,,,,,,9.0,,,,,,,,53.8,,-27.1,,,,,58.8,,,,,,9.8,,,,,,,,,,,-54.7,-47.9,
ëÍëÚòaìT,,,,,,,,,,,,,-39.8,,-25.7,,,,,,,,,,,,53.6,,,,,,,,,,,,56.6,,,,,54.3,62.0,,,,,,,,,,,-49.2,,,,,,,,,,,15.1,,,57.6,,,,,77.2,,,,,,-44.3,,,,,-53.3,-29.6,,,,,,,,,,-68.5,,,,-19.4,,,,,,,,,,,,,,58.1,,,,,
ê£åÀåFíºé˜,,,,,,,-16.8,,,,,63.5,,,,,,3.6,,,-61.5,,,,,,,,,,,77.4,,,,,,-43.6,,,,,-30.7,,,,,,,,,,,-58.5,,,,,,,-18.3,,,,,,,,,,5.3,,,,,,,,14.0,,,,-16.1,,,,,,,,,,13.5,,,,,,,,,,-55.9,,,,,6.0,,,,,,,,,,,6.1,
êêå¥ñæìﬁ,,,,,5.8,,,,54.6,,,,,,,,9.7,,,,74.3,,,,,,-48.4,,,,,,,-15.9,,,53.2,,,,,,,,,,-64.8,,,,,,,,60.3,,,-70.1,,,,,-56.1,,,,-22.6,,,,,,,,,,,,-53.4,,,,,,,,56.4,,,,,,,,,-59.9,89.3,,,,,,-39.0,,,,,,,,81.6,,,,,,-26.2,,,
îííπ„ƒ,,,,55.9,,,,14.0,,56.5,,,,,10.4,,,,,,-36.3,,,,,,,,,-41.8,,,-46.0,,,,,,,,,,25.4,,,,,,,,,,,,10.5,,,,,,,52.3,,,,,55.8,,,,,,,,,,-18.3,,-30.3,,,,,,,,7.1,,,,,,,-17.7,,,,,,,,8.7,,,-20.0,,,,,,,,,,,,2.2,,,
êŒà‰àÍîn,-15.9,,,,,,,,,,,,54.8,,,,,,,-24.9,,,,,,,,,,13.4,,,,,,57.2,-44.2,,,,49.9,-62.9,,,,-2.8,,5.5,,,,,,,,,,,,,,59.5,,,,,,,,,,69.6,,,,,,0.9,,,52.6,,,,,-23.9,,,,,,,,63.0,,,-21.2,,,,-17.2,,,,,,,,-49.2,,15.6,,,,,,75.3,,,
í|ì‡å≥ëæ,,,,,,,,,,-43.8,,-52.7,,,,,,78.2,,,56.6,,,,,,,,,,,,,,12.0,,-19.1,,,,-40.1,,,,-25.3,,,,,,,,,,,,,,,5.0,,,,,-45.9,,,,,,55.5,,,,,,,53.3,,,,,55.7,,,,,,9.6,,,,-25.3,,,,,,15.5,,,,-18.7,,,,,,3.2,,,,,,,,76.1,,-22.5,
äùêXëÅçÅ,,,,,,,,,-52.0,,,,,,,,-45.7,,,,,,,,,,,,,,,-70.6,,,,-20.4,,,,,,,,,,,,,,,,,-51.7,,,,,,,,,,,,,,,,,,,-19.2,,,,,,,,-22.6,,,,85.0,,,,,,61.8,,,,,,60.7,,,,-20.1,,,,,,,,,,99.6,,89.8,,,,,,,,-33.0
îãå¥êπêl,,,,,58.5,,,,,,-45.1,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,,6.4,,,,,-21.6,,,,,,-23.1,,,,,-51.6,,,,,-43.5,,,,,-23.7,,,,,,,54.2,,,,,,,,57.9,,,,,,68.2,,,,,,,,-53.6,,-17.0,,,,,,-22.9,,,,,,,,64.4,,,,,,,,-23.4,,20.2
àßêÏåbñ≤,,,,,,,3.7,,,,,,,,62.6,,,,,,,9.6,,,,17.7,,,,,-12.6,,,,,,,,,,,,,,-54.9,,-28.4,,,,,,,,,,-31.2,,,,,,19.2,,,,,,,,21.8,,,,-58.1,,,,,,,,,,,,22.0,,,,,1.1,,,,,,,,,,,,,,,,,,-78.2,,,,,,74.9,,,,
ëÁåÌëÂ,,,,,-48.4,,,,,,55.9,,,,,9.0,,,,,,-55.6,,,,,,,0.2,,3.1,,,,,,,,,,,,,,,-47.4,,49.7,,,,,,21.3,-43.4,,,,,,,,-71.6,,,,,,53.3,,,,,,,,18.6,,,,,,,,,,,-21.5,,,,,,,-23.3,,,,,,,,,-41.7,57.2,59.7,,,,,-18.1,,,,,,,59.6,,
óÈñÿÇΩÇÎÇ§,,-17.5,,,,,,,,,,,,,,-9.7,,,,,,,,,-29.2,,,,,5.6,,,,,,-46.5,,,,6.9,,,,,,,,,,,-17.3,,,,,,-55.9,,,,,,-13.4,,,,,,,-43.5,,,,,-31.2,,,,,,,-39.8,,,,,,-23.9,,,,,,,5.7,,,,,,,,,,,,,,,,,-32.9,,-17.2,,,,,,62.1
óÈñÿóD,9.8,,,,,,,,,-21.3,,,,,,111.5,,-27.7,,,,,,,,,,,106.0,,,,59.8,,,,,,,-20.0,,,,,,-24.8,,,,,,,,,,59.4,5.2,,,,,,,4.1,,,,,,-51.9,,,,,,,,,,-45.0,,,,,-48.3,,,,,,-17.5,,,,,,,,,,,-45.1,,,,,-43.6,,,,,,12.1,,,,,,,
óÈñÿëÂâÓ,,,,,,72.7,,,,,,,,,,,,-54.1,,,,,-53.7,,,,,-56.1,,,,,,,,,18.2,,,-50.9,,,,,,-48.8,,,,,6.1,,,,,,,-33.6,,,,,,,,,-48.3,,,,,,-29.4,,,,,,,,,,,,-16.6,,,,,,,,,,,,0.4,,,,,,,,,,,,,,67.9,-76.2,,,,,,,,
à¢ãví√„ƒëæ,,,76.0,,,,,,,,,,-9.9,,,,,,,,,,,-50.5,,,,,,,9.5,,,,-48.8,,,,,,,,,,,,,,,,,,-21.9,,,,,,,,7.6,,,,,,,,,-20.8,,6.0,,,,,,,,-67.3,,,,,5.9,-40.1,,,,,,,,,-61.1,,,,,,,,,-70.0,,,,,63.9,,,,,,-19.1,,,,,71.5
çÇã{Ç‹ÇË,,,,,,,,,,8.6,,,,,,-11.2,,,,,-47.4,,,,,,,73.8,,,,,,-54.7,,,,57.1,,,,,,,,,,,,,,,,65.8,,,,,,,61.5,,,-21.7,,,,17.7,,,,,,-15.5,,-19.0,,,,,,,,,,,,69.8,,,,,,5.5,,,,-43.0,,,,,,,,,,,,,,54.6,,,,,-63.2,,,
çïëÚçÁ,,,,,,,,-10.8,,,,,2.6,,,,,,,,,-21.3,,,,,,,-41.7,,,,,,,,-17.6,,,,,,,,,,,71.1,,,,,-42.1,,,,,,-5.9,,,,,,,,,,,-23.1,,,,,,,59.1,,,,,,,-37.8,,,,,-43.6,,,,,,,,,,,,58.9,,,,,,,,11.3,,,,,50.6,,,,,,
